,location,gender,rent,lowerage,upperage
1854,Tempelhof-Schoeneberg,unknown,800,21,30
1855,Reinickendorf,female,400,34,45
1856,Steglitz-Zehlendorf,male,650,49,70
1857,Marzahn-Hellersdorf,female,550,27,51
1858,Marzahn-Hellersdorf,female,650,47,48
1859,Tempelhof-Schoeneberg,female,450,46,56
1860,Pankow,unknown,750,25,32
1861,Charlottenburg-Wilmersdorf,female,450,29,41
1862,Mitte,female,650,49,52
1863,Spandau,male,750,29,34
1864,Spandau,male,750,37,50
1865,Lichtenberg,female,450,28,51
1866,Friedrichshain-Kreuzberg,male,700,25,49
1867,Spandau,unknown,500,29,38
1868,Steglitz-Zehlendorf,female,650,21,25
1869,Friedrichshain-Kreuzberg,unknown,400,28,46
1870,Marzahn-Hellersdorf,female,750,29,46
1871,Lichtenberg,male,750,29,46
1872,Pankow,male,750,18,39
1873,Marzahn-Hellersdorf,unknown,800,20,35
1874,Pankow,female,800,49,53
1875,Spandau,unknown,500,46,57
1876,Reinickendorf,unknown,800,19,30
1877,Pankow,female,550,48,71
1878,Marzahn-Hellersdorf,female,500,26,39
1879,Neukoelln,male,400,26,30
1880,Reinickendorf,male,650,39,53
1881,Neukoelln,male,700,20,25
1882,Reinickendorf,female,800,33,34
1883,Treptow-Koepenick,unknown,800,25,32
1884,Friedrichshain-Kreuzberg,female,800,27,36
1885,Neukoelln,female,650,31,45
1886,Spandau,male,400,27,50
1887,Mitte,unknown,750,35,41
1888,Reinickendorf,unknown,650,18,41
1889,Mitte,unknown,450,41,59
1890,Treptow-Koepenick,unknown,650,30,47
1891,Reinickendorf,male,500,45,50
1892,Lichtenberg,male,450,49,59
1893,Spandau,male,450,38,49
1894,Steglitz-Zehlendorf,unknown,450,19,23
1895,Friedrichshain-Kreuzberg,unknown,600,24,39
1896,Tempelhof-Schoeneberg,unknown,750,36,50
1897,Charlottenburg-Wilmersdorf,male,500,44,56
1898,Friedrichshain-Kreuzberg,unknown,650,48,54
1899,Marzahn-Hellersdorf,male,700,30,43
1900,Neukoelln,female,600,33,56
1901,Tempelhof-Schoeneberg,male,800,37,59
1902,Lichtenberg,unknown,800,40,43
1903,Mitte,male,550,43,62
1904,Marzahn-Hellersdorf,female,450,37,50
1905,Lichtenberg,unknown,750,44,60
1906,Tempelhof-Schoeneberg,male,650,43,59
1907,Treptow-Koepenick,female,500,44,52
1908,Treptow-Koepenick,male,750,43,66
1909,Steglitz-Zehlendorf,female,400,29,30
1910,Tempelhof-Schoeneberg,female,700,42,53
1911,Friedrichshain-Kreuzberg,male,400,27,31
1912,Reinickendorf,male,400,19,20
1913,Reinickendorf,unknown,650,46,63
1914,Marzahn-Hellersdorf,unknown,600,48,66
1915,Friedrichshain-Kreuzberg,male,600,34,55
1916,Pankow,unknown,650,39,57
1917,Neukoelln,unknown,450,39,44
1918,Neukoelln,female,700,41,43
1919,Reinickendorf,unknown,700,24,29
1920,Charlottenburg-Wilmersdorf,unknown,800,49,68
1921,Charlottenburg-Wilmersdorf,unknown,450,33,53
1922,Lichtenberg,male,700,40,50
1923,Mitte,male,750,41,62
1924,Pankow,male,550,24,48
1925,Friedrichshain-Kreuzberg,male,450,45,58
1926,Pankow,female,400,34,51
1927,Lichtenberg,female,450,25,26
1928,Lichtenberg,male,400,38,47
1929,Lichtenberg,male,450,21,39
1930,Charlottenburg-Wilmersdorf,female,400,29,37
1931,Lichtenberg,male,600,48,71
1932,Tempelhof-Schoeneberg,unknown,550,46,60
1933,Treptow-Koepenick,unknown,750,48,62
1934,Tempelhof-Schoeneberg,female,500,37,51
1935,Neukoelln,female,750,27,50
1936,Steglitz-Zehlendorf,female,600,19,21
1937,Pankow,female,450,46,47
1938,Tempelhof-Schoeneberg,female,500,18,22
1939,Marzahn-Hellersdorf,male,550,18,31
1940,Tempelhof-Schoeneberg,female,700,26,45
1941,Steglitz-Zehlendorf,female,400,34,51
1942,Treptow-Koepenick,male,750,31,48
1943,Steglitz-Zehlendorf,male,550,21,44
1944,Friedrichshain-Kreuzberg,unknown,550,25,46
1945,Pankow,male,800,25,31
1946,Marzahn-Hellersdorf,male,750,35,46
1947,Neukoelln,female,800,38,60
1948,Mitte,female,500,23,24
1949,Tempelhof-Schoeneberg,unknown,550,41,48
1950,Marzahn-Hellersdorf,unknown,550,42,48
1951,Charlottenburg-Wilmersdorf,male,750,47,62
1952,Tempelhof-Schoeneberg,unknown,600,47,60
1953,Marzahn-Hellersdorf,female,700,35,43
1954,Neukoelln,female,800,37,44
1955,Treptow-Koepenick,male,650,39,53
1956,Friedrichshain-Kreuzberg,female,500,43,56
1957,Spandau,male,750,45,63
1958,Marzahn-Hellersdorf,male,700,43,45
1959,Tempelhof-Schoeneberg,male,700,37,51
1960,Lichtenberg,male,750,45,46
1961,Friedrichshain-Kreuzberg,unknown,400,39,49
1962,Mitte,unknown,400,24,32
1963,Reinickendorf,male,550,30,35
1964,Steglitz-Zehlendorf,female,750,33,45
1965,Marzahn-Hellersdorf,unknown,600,47,66
1966,Marzahn-Hellersdorf,male,550,38,50
1967,Neukoelln,female,800,41,43
1968,Charlottenburg-Wilmersdorf,male,400,37,61
1969,Treptow-Koepenick,female,400,34,45
1970,Charlottenburg-Wilmersdorf,unknown,500,25,29
1971,Charlottenburg-Wilmersdorf,male,750,46,53
1972,Pankow,female,600,33,45
1973,Spandau,female,550,21,32
1974,Pankow,unknown,500,22,43
1975,Tempelhof-Schoeneberg,female,650,46,69
1976,Tempelhof-Schoeneberg,female,550,27,28
1977,Charlottenburg-Wilmersdorf,female,750,18,39
1978,Reinickendorf,unknown,400,31,32
1979,Pankow,male,700,27,35
1980,Steglitz-Zehlendorf,female,650,21,36
1981,Friedrichshain-Kreuzberg,male,600,24,33
1982,Pankow,male,800,36,58
1983,Spandau,female,450,38,57
1984,Mitte,male,500,32,48
1985,Treptow-Koepenick,male,400,31,47
1986,Reinickendorf,male,600,36,47
1987,Treptow-Koepenick,male,600,38,52
1988,Friedrichshain-Kreuzberg,female,750,39,48
1989,Friedrichshain-Kreuzberg,male,700,44,58
1990,Pankow,female,600,37,55
1991,Neukoelln,female,750,21,42
1992,Mitte,male,800,19,28
1993,Treptow-Koepenick,male,800,23,39
1994,Marzahn-Hellersdorf,male,700,23,44
1995,Neukoelln,unknown,450,43,46
1996,Marzahn-Hellersdorf,female,550,18,42
1997,Lichtenberg,female,700,25,43
1998,Pankow,unknown,800,34,56
1999,Lichtenberg,male,800,43,60
2000,Charlottenburg-Wilmersdorf,unknown,700,49,69
2001,Lichtenberg,male,500,22,46
2002,Reinickendorf,female,400,46,49
2003,Friedrichshain-Kreuzberg,unknown,650,45,64
2004,Mitte,female,600,28,44
2005,Pankow,unknown,550,44,65
2006,Charlottenburg-Wilmersdorf,male,600,30,31
2007,Neukoelln,male,500,24,38
2008,Mitte,male,600,21,45
2009,Friedrichshain-Kreuzberg,male,650,47,52
2010,Treptow-Koepenick,male,600,43,61
2011,Reinickendorf,unknown,650,49,52
2012,Lichtenberg,male,450,34,49
2013,Reinickendorf,male,750,30,50
2014,Marzahn-Hellersdorf,female,800,37,44
2015,Mitte,male,650,27,40
2016,Tempelhof-Schoeneberg,male,450,20,35
2017,Charlottenburg-Wilmersdorf,male,500,35,38
2018,Marzahn-Hellersdorf,male,450,28,48
2019,Reinickendorf,female,750,41,49
2020,Marzahn-Hellersdorf,male,450,41,63
2021,Reinickendorf,female,600,46,48
2022,Neukoelln,unknown,400,32,49
2023,Charlottenburg-Wilmersdorf,female,400,38,54
2024,Reinickendorf,male,750,34,43
2025,Spandau,male,550,31,55
2026,Charlottenburg-Wilmersdorf,male,550,19,32
2027,Lichtenberg,female,650,29,33
2028,Pankow,female,700,24,42
2029,Tempelhof-Schoeneberg,unknown,700,48,53
2030,Pankow,unknown,450,48,56
2031,Charlottenburg-Wilmersdorf,unknown,450,29,50
2032,Lichtenberg,female,650,23,41
2033,Reinickendorf,female,800,40,44
2034,Neukoelln,male,500,19,36
2035,Mitte,male,700,18,41
2036,Treptow-Koepenick,unknown,600,28,50
2037,Neukoelln,unknown,550,41,47
2038,Steglitz-Zehlendorf,female,800,41,48
2039,Lichtenberg,unknown,550,21,44
2040,Treptow-Koepenick,male,700,48,52
2041,Marzahn-Hellersdorf,female,500,27,41
2042,Friedrichshain-Kreuzberg,female,550,28,34
2043,Reinickendorf,male,450,23,39
2044,Treptow-Koepenick,unknown,450,27,34
2045,Charlottenburg-Wilmersdorf,unknown,600,31,38
2046,Spandau,male,400,36,37
2047,Friedrichshain-Kreuzberg,male,450,32,43
2048,Marzahn-Hellersdorf,female,450,36,41
2049,Neukoelln,male,600,23,41
2050,Reinickendorf,female,500,19,39
2051,Neukoelln,unknown,450,42,49
2052,Lichtenberg,unknown,500,28,32
2053,Marzahn-Hellersdorf,male,600,33,50
2054,Steglitz-Zehlendorf,unknown,550,33,49
2055,Neukoelln,female,500,18,27
2056,Tempelhof-Schoeneberg,unknown,800,20,41
2057,Lichtenberg,male,550,49,52
2058,Charlottenburg-Wilmersdorf,female,500,32,33
2059,Treptow-Koepenick,female,800,29,40
2060,Tempelhof-Schoeneberg,female,400,40,63
2061,Treptow-Koepenick,unknown,650,47,54
2062,Pankow,female,750,19,40
2063,Tempelhof-Schoeneberg,male,400,19,21
2064,Neukoelln,female,650,45,49
2065,Steglitz-Zehlendorf,male,550,21,41
2066,Pankow,female,600,49,73
2067,Charlottenburg-Wilmersdorf,unknown,400,32,51
2068,Charlottenburg-Wilmersdorf,male,750,28,43
2069,Spandau,male,500,24,33
2070,Neukoelln,unknown,500,19,27
2071,Friedrichshain-Kreuzberg,unknown,600,31,42
2072,Neukoelln,male,450,28,36
2073,Tempelhof-Schoeneberg,female,650,30,50
2074,Tempelhof-Schoeneberg,female,550,29,52
2075,Charlottenburg-Wilmersdorf,unknown,550,28,47
2076,Reinickendorf,female,800,18,35
2077,Treptow-Koepenick,unknown,800,38,60
2078,Lichtenberg,female,800,24,47
2079,Marzahn-Hellersdorf,unknown,800,34,37
2080,Pankow,male,600,35,38
2081,Treptow-Koepenick,female,700,38,58
2082,Tempelhof-Schoeneberg,female,800,24,29
2083,Treptow-Koepenick,male,700,43,54
2084,Neukoelln,male,700,33,47
2085,Charlottenburg-Wilmersdorf,unknown,800,35,54
2086,Charlottenburg-Wilmersdorf,female,550,43,65
2087,Lichtenberg,unknown,400,38,58
2088,Friedrichshain-Kreuzberg,female,550,23,30
2089,Marzahn-Hellersdorf,unknown,400,26,29
2090,Reinickendorf,unknown,600,34,35
2091,Friedrichshain-Kreuzberg,unknown,550,35,51
2092,Treptow-Koepenick,unknown,800,47,54
2093,Reinickendorf,male,400,23,42
2094,Pankow,male,700,36,42
2095,Reinickendorf,unknown,700,46,48
2096,Treptow-Koepenick,male,400,20,30
2097,Spandau,female,600,46,57
2098,Mitte,male,400,43,57
2099,Marzahn-Hellersdorf,unknown,550,43,60
2100,Lichtenberg,unknown,750,41,42
2101,Friedrichshain-Kreuzberg,unknown,600,24,44
2102,Steglitz-Zehlendorf,female,500,24,47
2103,Tempelhof-Schoeneberg,male,750,20,35
2104,Steglitz-Zehlendorf,male,750,43,66
2105,Tempelhof-Schoeneberg,male,650,38,41
2106,Treptow-Koepenick,male,650,31,42
2107,Spandau,male,800,40,57
2108,Neukoelln,unknown,700,42,64
2109,Reinickendorf,female,400,31,36
2110,Treptow-Koepenick,female,550,42,43
2111,Mitte,unknown,650,36,51
2112,Mitte,female,700,19,25
2113,Spandau,female,650,32,35
2114,Spandau,male,750,40,53
2115,Friedrichshain-Kreuzberg,male,800,28,44
2116,Marzahn-Hellersdorf,female,750,34,39
2117,Charlottenburg-Wilmersdorf,male,650,43,46
2118,Charlottenburg-Wilmersdorf,female,800,38,40
2119,Charlottenburg-Wilmersdorf,male,500,31,38
2120,Spandau,male,550,46,70
2121,Treptow-Koepenick,unknown,800,39,42
2122,Marzahn-Hellersdorf,female,500,37,48
2123,Lichtenberg,male,650,49,68
2124,Steglitz-Zehlendorf,female,750,24,43
2125,Treptow-Koepenick,unknown,350,42,43
2126,Mitte,male,450,31,32
2127,Friedrichshain-Kreuzberg,male,700,28,50
2128,Reinickendorf,female,750,49,64
2129,Neukoelln,male,650,41,44
2130,Friedrichshain-Kreuzberg,female,700,28,50
2131,Friedrichshain-Kreuzberg,female,550,26,44
2132,Spandau,unknown,550,44,48
2133,Tempelhof-Schoeneberg,male,550,43,58
2134,Marzahn-Hellersdorf,male,800,40,44
2135,Friedrichshain-Kreuzberg,male,400,21,30
2136,Mitte,male,700,19,27
2137,Lichtenberg,female,550,37,51
2138,Pankow,female,500,28,52
2139,Neukoelln,unknown,450,34,42
2140,Friedrichshain-Kreuzberg,male,650,31,47
2141,Charlottenburg-Wilmersdorf,unknown,600,44,55
2142,Marzahn-Hellersdorf,unknown,650,29,46
2143,Mitte,male,550,38,41
2144,Spandau,male,750,20,27
2145,Neukoelln,female,550,47,67
2146,Pankow,female,550,44,62
2147,Charlottenburg-Wilmersdorf,unknown,700,33,36
2148,Marzahn-Hellersdorf,female,800,48,56
2149,Charlottenburg-Wilmersdorf,unknown,650,32,42
2150,Treptow-Koepenick,female,700,24,26
2151,Tempelhof-Schoeneberg,unknown,550,49,50
2152,Tempelhof-Schoeneberg,female,800,23,28
2153,Lichtenberg,female,600,25,40
2154,Steglitz-Zehlendorf,male,650,19,32
2155,Lichtenberg,unknown,650,47,64
2156,Treptow-Koepenick,male,450,43,46
2157,Neukoelln,unknown,600,42,59
2158,Friedrichshain-Kreuzberg,male,450,18,31
2159,Tempelhof-Schoeneberg,female,700,39,48
2160,Mitte,unknown,800,27,31
2161,Lichtenberg,unknown,650,31,41
2162,Tempelhof-Schoeneberg,unknown,700,22,42
2163,Marzahn-Hellersdorf,unknown,600,30,34
2164,Mitte,female,550,34,41
2165,Neukoelln,unknown,600,46,54
2166,Pankow,female,650,20,39
2167,Steglitz-Zehlendorf,male,500,27,34
2168,Marzahn-Hellersdorf,female,550,35,36
2169,Treptow-Koepenick,male,700,48,56
2170,Marzahn-Hellersdorf,female,650,29,32
2171,Reinickendorf,unknown,650,18,42
2172,Marzahn-Hellersdorf,unknown,600,25,33
2173,Reinickendorf,unknown,500,19,36
2174,Reinickendorf,unknown,750,43,44
2175,Spandau,male,750,19,37
2176,Lichtenberg,male,500,33,50
2177,Mitte,female,400,28,52
2178,Steglitz-Zehlendorf,male,500,32,55
2179,Spandau,male,450,38,45
2180,Friedrichshain-Kreuzberg,female,450,27,43
2181,Lichtenberg,unknown,750,45,63
2182,Friedrichshain-Kreuzberg,male,550,32,40
2183,Friedrichshain-Kreuzberg,female,600,43,48
2184,Treptow-Koepenick,unknown,600,46,65
2185,Treptow-Koepenick,female,700,36,60
2186,Neukoelln,female,650,37,56
2187,Reinickendorf,unknown,700,49,52
2188,Reinickendorf,unknown,800,36,50
2189,Spandau,unknown,650,25,30
2190,Mitte,female,650,30,47
2191,Pankow,male,600,32,48
2192,Charlottenburg-Wilmersdorf,male,700,35,46
2193,Neukoelln,male,800,39,56
2194,Reinickendorf,male,550,21,25
2195,Marzahn-Hellersdorf,unknown,450,32,34
2196,Mitte,unknown,800,25,26
2197,Mitte,male,400,49,58
2198,Tempelhof-Schoeneberg,female,600,37,43
2199,Marzahn-Hellersdorf,female,750,21,22
2200,Mitte,male,600,22,32
2201,Steglitz-Zehlendorf,male,450,25,40
2202,Steglitz-Zehlendorf,unknown,400,31,47
2203,Reinickendorf,unknown,700,25,46
2204,Tempelhof-Schoeneberg,female,700,25,39
2205,Neukoelln,unknown,700,48,69
2206,Reinickendorf,male,500,34,55
2207,Treptow-Koepenick,male,700,29,35
2208,Marzahn-Hellersdorf,male,650,35,36
2209,Spandau,female,600,46,70
2210,Tempelhof-Schoeneberg,unknown,650,40,61
2211,Tempelhof-Schoeneberg,unknown,700,18,42
2212,Mitte,male,550,25,44
2213,Mitte,male,600,30,32
2214,Friedrichshain-Kreuzberg,male,800,24,39
2215,Charlottenburg-Wilmersdorf,male,700,18,21
2216,Mitte,unknown,400,44,45
2217,Reinickendorf,unknown,550,46,55
2218,Reinickendorf,female,500,29,40
2219,Neukoelln,male,700,46,61
2220,Marzahn-Hellersdorf,male,800,25,34
2221,Treptow-Koepenick,female,500,49,66
2222,Neukoelln,male,500,33,57
2223,Steglitz-Zehlendorf,female,800,38,47
2224,Treptow-Koepenick,female,600,45,50
2225,Lichtenberg,female,700,35,58
2226,Pankow,unknown,800,43,59
2227,Steglitz-Zehlendorf,male,550,18,38
2228,Steglitz-Zehlendorf,male,800,25,29
2229,Steglitz-Zehlendorf,female,450,19,39
2230,Lichtenberg,female,550,43,54
2231,Steglitz-Zehlendorf,female,450,38,56
2232,Charlottenburg-Wilmersdorf,unknown,500,20,35
2233,Steglitz-Zehlendorf,unknown,600,35,41
2234,Tempelhof-Schoeneberg,male,450,22,45
2235,Lichtenberg,unknown,700,43,67
2236,Treptow-Koepenick,male,750,47,58
2237,Mitte,unknown,400,39,43
2238,Mitte,female,750,21,39
2239,Marzahn-Hellersdorf,female,700,46,47
2240,Treptow-Koepenick,male,600,43,54
2241,Mitte,female,500,44,66
2242,Neukoelln,female,750,27,44
2243,Steglitz-Zehlendorf,male,550,30,32
2244,Charlottenburg-Wilmersdorf,unknown,800,23,34
2245,Tempelhof-Schoeneberg,female,400,40,51
2246,Lichtenberg,male,700,26,28
2247,Reinickendorf,male,600,21,25
2248,Tempelhof-Schoeneberg,female,450,49,67
2249,Neukoelln,unknown,550,47,54
2250,Lichtenberg,female,500,34,42
2251,Steglitz-Zehlendorf,female,600,23,45
2252,Marzahn-Hellersdorf,male,800,42,44
2253,Spandau,male,700,46,67
2254,Lichtenberg,female,750,22,26
2255,Lichtenberg,unknown,350,24,28
2256,Lichtenberg,male,500,18,31
2257,Reinickendorf,unknown,400,38,49
2258,Steglitz-Zehlendorf,male,800,45,61
2259,Mitte,male,750,41,55
2260,Reinickendorf,female,600,18,19
2261,Charlottenburg-Wilmersdorf,unknown,650,24,33
2262,Reinickendorf,male,700,39,52
2263,Steglitz-Zehlendorf,unknown,650,42,64
2264,Mitte,female,550,38,39
2265,Lichtenberg,unknown,400,38,59
2266,Reinickendorf,male,400,34,37
2267,Charlottenburg-Wilmersdorf,male,600,41,57
2268,Charlottenburg-Wilmersdorf,female,400,24,36
2269,Treptow-Koepenick,female,450,18,22
2270,Tempelhof-Schoeneberg,female,500,42,61
2271,Mitte,female,650,38,41
2272,Treptow-Koepenick,unknown,400,21,39
2273,Pankow,male,550,46,58
2274,Friedrichshain-Kreuzberg,unknown,700,41,61
2275,Pankow,unknown,600,25,36
2276,Pankow,unknown,650,45,62
2277,Marzahn-Hellersdorf,male,550,38,44
2278,Marzahn-Hellersdorf,male,500,47,65
2279,Reinickendorf,unknown,600,41,55
2280,Steglitz-Zehlendorf,unknown,550,36,54
2281,Mitte,male,600,39,60
2282,Mitte,male,700,22,25
2283,Charlottenburg-Wilmersdorf,unknown,800,43,49
2284,Friedrichshain-Kreuzberg,unknown,400,46,52
2285,Reinickendorf,unknown,650,21,28
2286,Marzahn-Hellersdorf,female,600,49,71
2287,Steglitz-Zehlendorf,male,550,23,36
2288,Neukoelln,unknown,450,25,46
2289,Friedrichshain-Kreuzberg,unknown,700,23,26
2290,Spandau,unknown,450,45,61
2291,Treptow-Koepenick,male,500,33,53
2292,Charlottenburg-Wilmersdorf,female,500,26,34
2293,Spandau,female,650,21,35
2294,Mitte,unknown,500,32,51
2295,Spandau,male,650,33,38
2296,Steglitz-Zehlendorf,female,500,44,61
2297,Tempelhof-Schoeneberg,unknown,450,28,49
2298,Tempelhof-Schoeneberg,unknown,650,34,58
2299,Spandau,female,700,36,60
2300,Reinickendorf,unknown,400,24,45
2301,Treptow-Koepenick,male,700,25,30
2302,Reinickendorf,unknown,700,18,28
2303,Charlottenburg-Wilmersdorf,female,600,43,51
2304,Lichtenberg,male,450,48,62
2305,Steglitz-Zehlendorf,unknown,750,23,28
2306,Neukoelln,female,750,20,26
2307,Pankow,male,500,34,41
2308,Friedrichshain-Kreuzberg,unknown,450,30,50
2309,Tempelhof-Schoeneberg,unknown,500,44,56
2310,Neukoelln,female,800,19,42
2311,Tempelhof-Schoeneberg,unknown,650,33,39
2312,Mitte,female,800,19,24
2313,Tempelhof-Schoeneberg,female,600,48,49
2314,Treptow-Koepenick,female,550,30,36
2315,Mitte,unknown,450,33,43
2316,Friedrichshain-Kreuzberg,female,700,44,46
2317,Reinickendorf,male,650,28,31
2318,Lichtenberg,male,550,23,45
2319,Mitte,unknown,500,48,58
2320,Marzahn-Hellersdorf,female,450,19,21
2321,Friedrichshain-Kreuzberg,unknown,600,46,67
2322,Pankow,female,750,25,38
2323,Tempelhof-Schoeneberg,male,600,26,41
2324,Tempelhof-Schoeneberg,male,650,42,63
2325,Pankow,male,600,36,44
2326,Reinickendorf,unknown,500,44,56
2327,Reinickendorf,male,550,35,39
2328,Charlottenburg-Wilmersdorf,unknown,600,38,42
2329,Lichtenberg,unknown,700,48,52
2330,Friedrichshain-Kreuzberg,male,600,49,53
2331,Reinickendorf,male,800,41,49
2332,Neukoelln,male,800,39,44
2333,Tempelhof-Schoeneberg,female,400,31,49
2334,Neukoelln,unknown,550,25,47
2335,Reinickendorf,unknown,600,33,49
2336,Friedrichshain-Kreuzberg,male,400,40,41
2337,Lichtenberg,male,550,19,34
2338,Charlottenburg-Wilmersdorf,male,600,38,57
2339,Marzahn-Hellersdorf,unknown,600,29,49
2340,Spandau,male,600,43,61
2341,Reinickendorf,male,800,34,40
2342,Marzahn-Hellersdorf,male,500,34,55
2343,Neukoelln,female,550,42,59
2344,Steglitz-Zehlendorf,female,450,25,32
2345,Tempelhof-Schoeneberg,male,750,39,49
2346,Lichtenberg,unknown,600,35,37
2347,Neukoelln,unknown,600,34,35
2348,Steglitz-Zehlendorf,unknown,700,44,53
2349,Charlottenburg-Wilmersdorf,female,650,35,45
2350,Reinickendorf,female,800,33,57
2351,Charlottenburg-Wilmersdorf,female,600,30,49
2352,Lichtenberg,unknown,500,22,40
2353,Spandau,female,450,38,44
2354,Friedrichshain-Kreuzberg,female,500,45,61
2355,Charlottenburg-Wilmersdorf,unknown,450,27,39
2356,Reinickendorf,unknown,400,33,51
2357,Friedrichshain-Kreuzberg,unknown,500,33,52
2358,Steglitz-Zehlendorf,unknown,700,35,47
2359,Marzahn-Hellersdorf,unknown,650,32,37
2360,Tempelhof-Schoeneberg,male,750,26,29
2361,Friedrichshain-Kreuzberg,male,600,20,42
2362,Neukoelln,male,600,42,52
2363,Neukoelln,male,650,44,63
2364,Lichtenberg,female,550,18,26
2365,Pankow,female,550,40,58
2366,Treptow-Koepenick,female,550,34,48
2367,Pankow,female,450,31,45
2368,Friedrichshain-Kreuzberg,unknown,500,23,40
2369,Lichtenberg,unknown,550,29,44
2370,Friedrichshain-Kreuzberg,male,700,45,65
2371,Charlottenburg-Wilmersdorf,female,400,25,43
2372,Friedrichshain-Kreuzberg,female,450,42,56
2373,Spandau,unknown,650,26,30
2374,Neukoelln,male,700,37,49
2375,Mitte,unknown,800,29,47
2376,Marzahn-Hellersdorf,male,800,36,53
2377,Tempelhof-Schoeneberg,unknown,650,18,36
2378,Lichtenberg,unknown,650,22,41
2379,Friedrichshain-Kreuzberg,unknown,550,49,68
2380,Pankow,unknown,500,43,55
2381,Mitte,female,700,28,51
2382,Charlottenburg-Wilmersdorf,female,750,49,69
2383,Treptow-Koepenick,female,550,47,64
2384,Steglitz-Zehlendorf,unknown,700,27,40
2385,Pankow,male,450,27,49
2386,Charlottenburg-Wilmersdorf,female,400,39,48
2387,Reinickendorf,male,400,40,41
2388,Pankow,female,750,42,57
2389,Tempelhof-Schoeneberg,male,700,34,58
2390,Marzahn-Hellersdorf,male,400,44,59
2391,Marzahn-Hellersdorf,female,650,38,50
2392,Spandau,unknown,550,32,51
2393,Marzahn-Hellersdorf,unknown,500,45,62
2394,Marzahn-Hellersdorf,male,700,45,54
2395,Lichtenberg,female,450,25,49
2396,Steglitz-Zehlendorf,female,700,42,52
2397,Tempelhof-Schoeneberg,male,400,32,45
2398,Reinickendorf,male,450,26,42
2399,Tempelhof-Schoeneberg,male,550,22,27
2400,Pankow,unknown,800,48,59
2401,Lichtenberg,unknown,550,46,63
2402,Spandau,female,500,44,57
2403,Pankow,male,800,30,49
2404,Reinickendorf,unknown,550,18,35
2405,Pankow,male,550,37,56
2406,Marzahn-Hellersdorf,unknown,800,18,36
2407,Charlottenburg-Wilmersdorf,female,650,23,28
2408,Mitte,female,450,37,61
2409,Tempelhof-Schoeneberg,unknown,750,23,34
2410,Pankow,female,750,43,60
2411,Treptow-Koepenick,female,550,22,45
2412,Charlottenburg-Wilmersdorf,unknown,550,43,59
2413,Marzahn-Hellersdorf,female,800,47,61
2414,Reinickendorf,male,450,49,57
2415,Reinickendorf,female,600,20,43
2416,Friedrichshain-Kreuzberg,unknown,800,47,64
2417,Marzahn-Hellersdorf,male,450,47,63
2418,Pankow,male,800,37,44
2419,Tempelhof-Schoeneberg,female,700,45,61
2420,Pankow,unknown,700,20,39
2421,Charlottenburg-Wilmersdorf,female,500,18,41
2422,Tempelhof-Schoeneberg,unknown,700,26,46
2423,Mitte,unknown,800,28,51
2424,Neukoelln,female,500,33,36
2425,Tempelhof-Schoeneberg,male,750,43,53
2426,Lichtenberg,male,450,36,45
2427,Neukoelln,male,700,27,49
2428,Lichtenberg,unknown,650,44,63
2429,Reinickendorf,unknown,800,48,57
2430,Pankow,female,400,35,50
2431,Pankow,female,550,38,43
2432,Tempelhof-Schoeneberg,female,650,49,71
2433,Tempelhof-Schoeneberg,female,400,44,61
2434,Lichtenberg,male,550,28,38
2435,Charlottenburg-Wilmersdorf,male,750,32,33
2436,Tempelhof-Schoeneberg,male,500,20,44
2437,Reinickendorf,male,650,35,49
2438,Reinickendorf,unknown,750,23,39
2439,Lichtenberg,unknown,450,19,34
2440,Charlottenburg-Wilmersdorf,female,800,32,42
2441,Marzahn-Hellersdorf,male,450,23,46
2442,Reinickendorf,male,500,29,35
2443,Neukoelln,unknown,500,24,45
2444,Lichtenberg,unknown,450,35,52
2445,Spandau,unknown,450,32,34
2446,Spandau,unknown,400,33,54
2447,Spandau,male,550,26,27
2448,Neukoelln,unknown,650,45,56
2449,Spandau,male,500,37,51
2450,Pankow,unknown,600,18,20
2451,Lichtenberg,female,500,39,49
2452,Marzahn-Hellersdorf,unknown,600,46,66
2453,Friedrichshain-Kreuzberg,female,500,22,44
2454,Marzahn-Hellersdorf,female,450,44,66
2455,Neukoelln,unknown,450,48,68
2456,Mitte,female,750,34,43
2457,Neukoelln,unknown,650,23,40
2458,Spandau,female,450,37,48
2459,Marzahn-Hellersdorf,male,400,31,55
2460,Tempelhof-Schoeneberg,female,400,34,48
2461,Treptow-Koepenick,unknown,600,48,71
2462,Charlottenburg-Wilmersdorf,unknown,800,43,46
2463,Reinickendorf,unknown,800,49,56
2464,Mitte,male,700,38,45
2465,Steglitz-Zehlendorf,unknown,650,44,52
2466,Spandau,male,600,26,31
2467,Friedrichshain-Kreuzberg,male,600,31,53
2468,Treptow-Koepenick,female,750,30,43
2469,Treptow-Koepenick,female,750,35,37
2470,Tempelhof-Schoeneberg,female,750,33,35
2471,Mitte,unknown,800,36,52
2472,Charlottenburg-Wilmersdorf,male,500,27,35
2473,Spandau,female,500,34,57
2474,Reinickendorf,unknown,700,39,45
2475,Reinickendorf,male,400,26,43
2476,Marzahn-Hellersdorf,unknown,700,47,48
2477,Spandau,female,450,45,49
2478,Mitte,female,600,18,27
2479,Pankow,female,600,38,47
2480,Treptow-Koepenick,female,700,45,56
2481,Tempelhof-Schoeneberg,female,600,45,66
2482,Mitte,male,400,21,31
